Tekma,Team,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
433,29,35-88,10-34,16-23,15,37,52,23,6,2,15,23,96
434,2,38-77,18-39,15-24,8,31,39,23,9,3,13,18,109
434,4,40-83,8-30,10-14,10,29,39,21,7,4,16,16,98
435,9,49-95,12-34,8-10,8,37,45,36,8,2,14,15,118
435,21,43-93,15-41,9-16,13,31,44,29,7,3,15,18,110
436,1,46-97,19-42,9-15,9,36,45,37,8,0,13,19,120
436,10,46-94,18-43,14-17,8,43,51,30,7,8,13,19,124
437,16,40-95,7-32,18-18,13,29,42,24,5,6,11,20,105
437,12,41-87,7-21,23-29,16,37,53,23,5,7,15,18,112
438,19,36-86,14-45,9-13,13,32,45,27,8,7,21,22,95
438,18,42-90,5-20,20-23,13,36,49,20,12,4,11,13,109
439,25,31-85,12-40,11-21,8,38,46,20,4,5,10,23,85
439,29,35-86,11-34,17-25,11,50,61,23,5,6,12,18,98
440,14,28-85,12-40,18-22,15,36,51,16,8,6,15,16,86
440,20,32-83,9-38,8-11,6,37,43,24,6,9,13,23,81
441,27,51-88,22-39,8-12,4,33,37,38,8,4,13,17,132
441,13,42-82,11-32,19-24,6,31,37,28,11,3,13,16,114
443,23,41-86,12-34,18-21,6,32,38,13,7,6,10,22,112
443,3,43-89,10-30,20-22,11,34,45,22,5,4,11,20,116
445,1,37-85,13-39,13-17,9,30,39,23,10,3,14,12,100
445,5,37-75,20-40,8-9,4,40,44,23,7,2,24,22,102
446,21,44-98,8-29,18-22,12,29,41,22,8,3,7,18,114
446,16,49-82,11-23,13-15,2,36,38,24,5,8,14,23,122
448,27,46-86,24-46,12-13,5,36,41,35,5,7,10,14,128
448,18,36-93,5-33,20-23,17,32,49,19,5,4,12,12,97
449,9,36-85,8-28,16-23,10,39,49,24,8,3,14,20,96
449,4,33-84,13-45,15-17,6,37,43,25,5,6,14,17,94
450,11,45-89,6-26,22-29,12,42,54,23,8,3,17,19,118
450,24,37-103,19-55,18-25,17,33,50,19,10,7,12,22,111
451,30,39-98,10-37,27-34,11,38,49,22,9,11,10,30,115
451,13,42-94,11-36,25-37,12,40,52,22,5,7,13,24,120
452,25,43-79,13-28,18-24,5,32,37,22,9,3,14,18,117
452,6,39-84,8-35,15-20,14,28,42,22,9,4,15,17,101
453,19,34-91,11-40,17-21,9,40,49,23,10,4,11,21,96
453,10,35-81,9-30,26-29,5,46,51,24,7,8,11,18,105
454,12,33-85,11-37,26-35,11,34,45,26,8,7,10,21,103
454,14,40-81,14-34,16-18,5,34,39,25,5,5,14,24,110
455,20,33-82,16-35,17-21,7,36,43,24,6,3,15,24,99
455,7,33-78,6-18,31-38,11,37,48,17,4,4,13,25,103
456,22,43-84,16-36,13-16,3,30,33,25,8,3,13,24,115
456,15,42-81,12-34,27-33,10,34,44,29,6,4,11,20,123
457,21,44-100,12-33,15-20,14,29,43,29,6,3,12,26,115
457,29,44-90,11-28,29-36,14,42,56,22,8,5,17,19,128
458,2,44-92,11-38,13-19,9,31,40,21,10,4,6,19,112
458,3,40-87,15-35,13-18,16,36,52,24,3,4,16,17,108
460,16,49-91,15-36,7-10,8,47,55,24,5,5,11,17,120
460,26,37-96,13-40,13-19,11,35,46,20,7,4,9,16,100
461,9,36-81,15-40,21-25,10,35,45,30,7,6,13,20,108
461,25,32-74,14-39,16-19,5,33,38,20,6,1,17,24,94
462,18,37-94,6-31,12-19,13,38,51,17,7,1,13,23,92
462,28,35-80,15-41,17-26,5,44,49,17,6,4,16,18,102
463,24,37-84,12-39,14-19,13,33,46,15,6,6,16,17,100
463,27,50-99,16-33,16-18,13,30,43,29,6,5,7,13,132
464,5,41-89,11-36,17-21,8,27,35,18,13,2,16,17,110
464,23,45-85,28-55,14-17,8,37,45,34,7,7,22,19,132
465,11,47-96,9-25,24-33,5,44,49,25,9,4,16,25,127
465,4,49-104,15-44,11-17,12,33,45,29,9,11,20,29,124
466,15,40-89,14-31,17-23,13,28,41,22,10,4,11,19,111
466,6,41-78,15-28,15-19,7,29,36,28,7,10,15,19,112
467,19,41-88,10-34,13-16,8,41,49,24,10,9,15,19,105
467,10,33-88,14-38,13-22,10,38,48,25,9,6,12,16,93
468,21,45-87,15-31,13-19,5,33,38,25,6,7,15,17,118
468,2,44-89,17-40,22-31,10,31,41,30,8,5,8,16,127
469,1,40-89,13-38,21-24,7,34,41,30,9,8,10,18,114
469,7,38-97,11-29,19-22,18,38,56,22,4,5,13,23,106
470,12,33-80,17-38,26-30,12,42,54,24,5,8,18,15,109
470,14,40-93,11-37,11-13,8,30,38,29,12,11,10,20,102
471,30,41-86,12-39,13-18,12,34,46,19,6,6,13,21,107
471,28,42-89,13-33,13-15,8,30,38,19,5,1,9,17,110
472,20,42-98,19-54,9-9,7,36,43,35,4,5,14,16,112
472,29,53-99,20-42,13-18,9,43,52,33,11,5,8,13,139
473,24,41-87,14-41,10-10,7,40,47,21,0,7,9,19,106
473,22,40-94,14-36,17-18,10,30,40,25,8,3,1,10,111
474,11,47-88,11-20,11-16,6,30,36,32,5,1,13,16,116
474,3,54-94,19-38,8-13,7,39,46,26,7,5,10,22,135
475,1,39-83,5-26,28-31,8,33,41,27,10,4,18,25,111
475,8,37-81,7-29,26-32,7,32,39,20,11,6,19,22,107
476,30,42-95,8-31,20-23,12,24,36,20,10,6,6,16,112
476,15,45-85,23-42,14-17,12,33,45,27,4,5,17,23,127
477,26,36-90,10-33,14-17,9,24,33,18,8,8,7,15,96
477,6,43-85,16-36,10-15,11,44,55,24,4,10,16,20,112
478,14,37-74,20-44,14-17,3,29,32,30,5,3,14,25,108
478,9,37-80,17-38,25-29,11,31,42,31,6,4,11,21,116
479,20,47-104,12-38,20-21,13,28,41,28,11,4,17,24,126
479,16,55-93,10-25,13-16,7,36,43,28,11,5,21,15,133
480,19,47-89,13-36,11-16,9,29,38,31,8,6,13,23,118
480,13,50-90,10-23,18-29,12,33,45,31,10,6,12,10,128
481,17,40-86,9-25,10-15,6,38,44,20,10,4,12,13,99
481,25,37-89,18-44,10-11,10,42,52,21,6,4,17,14,102
482,5,43-88,13-36,25-27,9,37,46,24,8,5,13,21,124
482,27,44-87,14-38,19-27,7,34,41,26,9,6,14,25,121
483,4,34-85,8-33,13-20,12,33,45,17,5,4,14,15,89
483,23,41-87,22-48,10-15,14,39,53,28,7,1,12,16,114
484,28,32-78,13-34,20-23,10,40,50,17,2,9,18,21,97
484,12,39-90,12-29,21-25,8,31,39,26,11,6,7,19,111
485,10,35-87,9-36,13-15,4,31,35,19,8,1,18,10,92
485,2,49-92,20-45,11-14,7,44,51,30,11,2,13,18,129
486,21,42-85,12-35,25-33,8,26,34,25,12,0,16,22,121
486,7,51-87,19-36,19-21,9,34,43,24,8,2,16,23,140
487,3,34-84,12-34,14-16,8,33,41,19,4,4,14,15,94
487,18,50-92,11-19,11-16,7,41,48,27,7,1,6,17,122
488,11,41-86,8-26,22-25,10,32,42,24,9,2,11,20,112
488,22,37-85,15-38,21-24,12,32,44,23,6,7,18,20,110
489,13,51-102,13-39,10-14,12,35,47,32,5,4,9,17,125
489,29,52-96,13-31,12-16,8,34,42,21,4,8,9,13,129
490,21,37-89,7-32,29-41,14,35,49,24,5,6,10,25,110
490,19,37-82,12-33,21-32,10,35,45,20,6,6,11,25,107
491,8,35-89,15-46,27-29,8,32,40,26,8,6,8,22,112
491,30,42-82,9-22,25-29,7,38,45,24,3,6,11,20,118
492,26,39-91,16-47,17-20,7,30,37,23,4,5,11,24,111
492,14,40-89,16-41,26-27,11,37,48,29,6,8,12,20,122
493,23,40-94,15-46,21-23,9,27,36,24,9,3,9,21,116
493,9,44-86,14-31,22-25,11,39,50,24,5,1,15,21,124
494,27,44-88,6-22,12-15,3,27,30,35,11,4,7,11,106
494,16,39-78,12-31,7-10,6,35,41,25,2,4,17,16,97
495,3,44-80,14-35,17-18,4,43,47,34,6,8,17,19,119
495,18,39-97,9-28,12-16,8,29,37,24,10,4,9,14,99
496,15,43-97,12-40,11-17,19,35,54,21,6,5,10,13,109
496,25,46-88,16-42,10-16,5,34,39,31,6,2,10,17,118
497,5,41-89,17-41,22-32,13,25,38,27,11,1,20,23,121
497,1,48-79,11-24,23-25,4,33,37,38,10,3,23,19,130
498,24,32-83,11-37,18-20,10,35,45,19,5,5,15,21,93
498,4,37-88,7-27,21-28,15,37,52,25,9,7,9,23,102
499,6,41-97,8-24,22-29,13,39,52,24,12,3,16,26,112
499,12,38-83,10-28,23-35,8,38,46,25,9,10,19,26,109
500,13,40-91,9-32,25-31,17,35,52,27,3,2,10,17,114
500,17,41-86,12-32,23-28,8,30,38,24,7,5,8,26,117
501,8,38-84,11-28,20-25,6,29,35,27,5,7,16,17,107
501,7,40-81,12-24,18-22,4,34,38,26,12,2,18,22,110
502,23,45-85,17-45,17-24,10,42,52,29,2,3,12,14,124
502,10,44-96,14-34,7-8,7,30,37,27,6,3,3,18,109
503,20,41-95,11-35,19-29,12,38,50,23,9,10,18,29,112
503,11,44-98,13-33,27-34,15,42,57,27,6,6,16,24,128
504,22,49-89,15-31,13-16,6,43,49,30,6,3,12,16,126
504,25,37-88,11-47,11-15,7,30,37,24,7,6,14,16,96
505,28,45-86,14-36,11-17,6,30,36,23,12,8,8,15,115
505,2,35-86,14-44,14-19,14,33,47,21,5,4,19,16,98
506,3,40-97,14-44,6-7,13,36,49,20,7,3,8,19,100
506,29,38-85,12-38,17-22,8,40,48,21,7,5,11,11,105
507,7,44-86,13-26,8-10,6,35,41,23,9,7,11,23,109
507,19,28-72,9-32,25-31,7,33,40,16,8,4,15,15,90
508,15,36-87,8-35,19-22,16,33,49,22,12,6,16,20,99
508,9,39-86,11-37,20-22,12,33,45,27,8,6,14,20,109
510,11,38-84,9-32,25-29,7,29,36,16,10,5,14,22,110
510,30,42-89,10-30,17-24,13,36,49,25,7,0,18,25,111
511,18,50-94,10-30,23-28,11,45,56,27,16,3,18,31,133
511,26,23-83,4-45,34-41,12,26,38,10,7,6,23,24,84
512,27,44-89,7-27,23-24,8,39,47,27,7,5,16,18,118
512,20,35-93,8-35,21-24,10,34,44,21,12,4,15,22,99
513,1,35-86,8-34,13-19,3,32,35,26,10,4,20,25,91
513,4,40-85,11-31,26-38,14,46,60,22,14,6,19,21,117
514,5,45-83,11-30,26-27,7,30,37,30,3,6,16,20,127
514,21,50-92,16-36,10-17,9,24,33,32,6,2,10,19,126
515,28,47-90,17-46,19-23,7,39,46,29,6,6,8,12,130
515,10,47-95,20-41,10-14,6,35,41,25,5,1,8,17,124
516,8,44-91,8-29,18-21,8,26,34,27,8,1,19,19,114
516,12,50-88,15-35,15-16,6,33,39,27,10,6,19,19,130
517,22,46-87,10-27,16-20,9,41,50,22,4,6,12,18,118
517,16,42-94,12-38,16-22,14,30,44,25,7,3,10,18,112
518,6,36-73,10-30,19-24,6,42,48,23,7,6,19,18,101
518,26,31-76,10-31,18-24,4,26,30,13,13,4,14,18,90
519,23,46-101,17-43,15-18,11,28,39,26,11,7,8,22,124
519,13,52-92,7-11,18-23,10,43,53,27,5,5,13,15,129
520,2,47-100,17-41,13-17,13,38,51,35,6,8,5,13,124
520,17,44-97,15-35,10-15,9,39,48,30,2,3,9,16,113
521,5,43-88,15-34,10-17,11,26,37,25,12,5,16,16,111
521,24,46-86,24-46,7-10,8,30,38,26,12,7,15,15,123
522,18,47-95,13-29,18-23,9,35,44,26,15,1,11,21,125
522,11,41-81,11-31,18-25,4,33,37,29,8,3,22,20,111
523,3,43-87,18-38,8-9,10,25,35,28,3,5,9,19,112
523,30,42-86,16-32,17-23,14,29,43,25,6,4,8,12,117
524,15,34-71,13-36,13-15,11,36,47,26,5,2,23,18,94
524,9,28-75,9-33,15-22,5,21,26,15,16,4,7,13,80
526,22,53-95,11-30,11-12,9,36,45,28,10,3,10,19,128
526,29,32-79,11-40,22-31,11,29,40,22,4,4,13,18,97
527,7,33-81,15-36,12-15,9,32,41,18,2,5,16,16,93
527,17,43-89,18-42,15-21,9,36,45,31,12,4,8,14,119
528,27,38-77,16-29,22-25,4,28,32,30,7,5,12,16,114
528,4,40-77,11-31,13-17,5,30,35,18,5,8,14,23,104
529,8,47-83,8-25,12-16,4,23,27,27,18,8,11,16,114
529,6,43-83,11-28,14-15,11,32,43,29,8,1,25,18,111
530,15,38-85,21-45,18-19,6,36,42,26,7,5,12,25,115
530,10,36-84,13-35,27-27,10,36,46,24,6,5,10,15,112
531,23,44-100,21-44,14-19,12,40,52,22,7,1,16,24,123
531,12,48-93,8-25,27-35,8,42,50,22,9,6,11,17,131
532,2,49-85,17-35,17-24,10,43,53,33,5,1,14,24,132
532,26,38-91,18-43,20-28,12,25,37,24,10,5,9,18,114
533,5,51-98,17-39,16-21,13,41,54,33,14,7,17,18,135
533,20,39-96,9-40,15-18,12,33,45,25,11,2,19,18,102
534,16,48-94,12-28,20-22,13,32,45,28,6,8,14,21,128
534,13,46-83,6-22,26-38,7,28,35,29,10,6,11,19,124
535,25,29-87,9-39,11-17,8,37,45,13,6,4,13,20,78
535,28,32-83,8-40,15-19,7,46,53,18,8,3,12,13,87
536,1,41-97,15-42,9-14,17,37,54,27,8,1,11,24,106
536,24,36-86,14-49,22-26,8,39,47,15,5,4,10,16,108
537,4,49-93,12-27,10-14,15,26,41,27,7,3,11,19,120
537,21,48-80,12-25,15-19,6,24,30,32,5,1,13,19,123
538,14,45-91,21-50,14-17,8,20,28,36,6,1,13,25,125
538,30,45-74,13-29,29-40,9,30,39,25,6,7,16,20,132
539,22,45-77,12-28,11-16,6,35,41,27,6,5,19,13,113
539,8,41-90,14-39,7-12,11,23,34,27,12,3,14,17,103
540,3,38-82,16-35,25-27,10,35,45,24,4,4,17,31,117
540,11,40-88,9-23,30-42,11,30,41,20,12,3,9,24,119
541,29,42-95,10-34,18-22,13,39,52,21,11,5,16,19,112
541,18,40-101,8-34,23-24,17,39,56,21,13,8,12,20,111
542,25,37-85,12-40,21-26,9,36,45,20,9,4,16,16,107
542,17,40-85,10-31,12-12,6,40,46,23,9,5,19,24,102
543,9,36-73,10-30,21-25,5,35,40,27,7,2,10,20,103
543,13,33-83,11-43,16-20,15,29,44,28,5,3,13,21,93
544,21,49-103,11-29,10-16,18,33,51,25,3,3,7,19,119
544,24,42-88,15-38,24-25,9,32,41,20,6,7,8,14,123
546,24,44-95,21-46,23-23,14,30,44,19,6,1,9,19,132
546,11,46-83,16-40,13-17,6,33,39,32,2,5,13,21,121
547,11,34-90,9-40,20-28,12,36,48,22,6,5,15,18,97
547,5,42-99,15-36,20-26,18,41,59,21,6,6,11,25,119
548,30,32-90,9-35,18-30,14,36,50,14,5,2,17,27,91
548,11,33-83,7-30,31-36,9,45,54,24,9,3,16,25,104
549,13,40-90,9-35,23-28,18,26,44,23,5,2,10,17,112
549,19,45-84,17-35,16-20,9,28,37,34,3,8,11,23,123
550,25,35-78,19-41,24-28,6,33,39,25,5,3,18,25,113
550,18,42-83,12-26,26-33,7,37,44,31,14,4,12,18,122
551,1,38-88,12-35,10-16,9,31,40,22,9,4,17,11,98
551,27,49-96,12-30,10-13,12,40,52,31,8,4,16,16,120
554,22,46-80,15-31,13-17,6,31,37,24,9,2,15,17,120
554,6,39-83,12-31,13-21,13,21,34,30,8,4,18,15,103
555,19,37-82,8-28,20-24,6,34,40,15,9,2,13,21,102
555,16,41-85,8-28,15-24,8,38,46,29,8,7,13,20,105
556,19,39-80,14-36,12-15,6,23,29,23,6,2,12,13,104
556,7,45-83,9-27,15-19,12,35,47,25,10,4,13,13,114
558,31,68-107,31-61,3-5,8,40,48,46,9,3,18,8,170
558,32,60-114,27-72,3-5,10,31,41,47,15,0,14,8,150
559,11,38-95,11-36,25-27,6,33,39,23,9,6,9,26,112
559,18,50-99,8-23,19-29,14,46,60,31,4,6,15,26,127
560,17,38-83,12-28,16-20,6,24,30,18,10,2,9,19,104
560,28,43-83,13-40,16-19,13,38,51,29,3,1,14,19,115
561,19,38-85,15-46,11-14,11,39,50,27,6,5,14,21,102
561,5,36-90,10-30,23-24,12,33,45,26,9,3,9,14,105
562,30,41-91,13-40,14-22,11,28,39,22,10,10,11,13,109
562,2,42-88,19-42,18-22,11,34,45,21,3,5,14,22,121
563,15,39-90,15-42,28-35,12,41,53,20,8,13,14,26,121
563,14,42-96,17-37,19-23,13,37,50,23,8,4,14,25,120
564,10,39-96,12-34,13-15,16,41,57,22,6,4,14,19,103
564,9,41-91,16-49,13-22,9,35,44,27,8,4,10,16,111
565,12,53-103,10-33,11-15,13,32,45,25,11,7,10,16,127
565,16,39-83,14-29,13-16,8,30,38,26,3,6,19,19,105
566,7,37-89,13-37,14-21,10,28,38,19,3,5,13,19,101
566,29,50-87,18-38,16-17,5,39,44,29,8,10,12,18,134
567,20,51-95,19-40,14-16,7,31,38,28,11,10,11,20,135
567,13,43-100,6-32,13-24,19,32,51,28,7,6,18,18,105
568,28,35-82,15-34,23-33,6,31,37,20,4,9,6,22,108
568,25,41-91,16-32,18-20,16,39,55,25,2,6,9,24,116
569,1,38-88,9-36,19-27,5,39,44,20,6,6,16,23,104
569,3,44-96,18-41,24-29,11,45,56,23,10,6,11,22,130
570,27,49-83,13-24,16-19,5,33,38,28,6,1,13,20,127
570,24,43-94,18-43,17-19,15,26,41,26,8,2,11,18,121
571,26,41-99,11-45,12-17,10,34,44,24,7,6,13,22,105
571,21,45-92,11-33,24-28,8,45,53,25,11,5,12,19,125
572,12,49-90,11-21,18-18,10,39,49,26,13,6,16,19,127
572,11,40-82,8-24,13-22,6,26,32,19,10,2,18,16,101
573,22,41-92,13-37,8-11,9,36,45,27,10,5,9,10,103
573,18,40-87,14-28,8-8,8,37,45,27,6,5,16,15,102
574,6,30-88,7-32,15-20,5,28,33,13,8,9,6,18,82
574,13,47-101,6-24,16-19,19,51,70,25,2,7,13,18,116
575,9,37-80,12-35,15-20,1,40,41,26,11,5,9,13,101
575,16,34-91,15-38,7-7,11,38,49,25,5,3,16,16,90
576,10,29-80,10-38,9-12,9,37,46,17,3,4,18,16,77
576,17,40-89,10-29,14-18,7,38,45,24,8,5,9,15,104
577,26,41-111,9-43,8-13,19,31,50,15,11,5,11,19,99
577,23,39-81,15-40,21-25,6,44,50,24,8,9,17,17,114
578,8,37-88,8-36,18-21,10,34,44,22,7,4,16,27,100
578,4,34-76,7-22,30-39,6,38,44,20,10,5,15,20,105
579,7,44-91,14-35,17-22,12,33,45,23,12,2,10,20,119
579,25,37-76,8-32,15-21,5,35,40,22,3,4,18,18,97
580,19,36-89,8-32,15-20,12,35,47,26,9,8,12,16,95
580,2,39-81,6-27,16-22,5,30,35,22,8,7,11,16,100
581,14,37-96,15-46,15-18,13,33,46,25,11,5,16,16,104
581,5,39-80,21-49,15-19,8,43,51,30,10,6,28,22,114
582,29,43-99,17-45,22-25,13,44,57,33,9,3,18,19,125
582,11,43-94,16-41,17-22,6,35,41,25,9,2,15,20,119
583,21,43-98,7-36,13-16,22,25,47,27,5,1,12,26,106
583,15,43-84,12-33,23-33,13,32,45,21,6,2,8,17,121
584,24,43-89,13-40,26-30,7,27,34,26,6,5,8,18,125
584,20,44-86,10-26,23-31,19,37,56,23,5,7,18,24,121
585,28,42-86,18-46,14-16,12,37,49,26,4,3,8,19,116
585,22,37-90,16-41,13-18,12,29,41,27,5,1,9,19,103
586,8,46-87,13-28,17-21,9,36,45,25,9,6,15,18,122
586,27,43-91,12-31,13-17,10,30,40,28,9,4,16,17,111
587,18,47-92,7-22,21-29,11,21,32,27,13,3,7,21,122
587,25,42-73,16-31,28-34,8,38,46,26,7,4,24,20,128
588,23,41-93,15-44,22-29,18,33,51,24,6,6,14,16,119
588,1,50-89,16-31,15-18,5,35,40,33,12,2,13,26,131
589,17,36-85,4-21,23-31,10,22,32,20,8,10,9,13,99
589,12,56-98,15-29,7-11,13,41,54,35,7,7,11,27,134
590,9,37-89,14-50,14-15,10,33,43,28,15,6,11,17,102
590,10,33-75,16-40,15-21,8,37,45,25,4,1,23,18,97
591,6,31-81,8-30,12-23,14,20,34,19,4,5,13,18,82
591,15,32-70,12-29,24-26,11,37,48,21,4,6,15,21,100
592,30,51-92,18-37,14-21,10,45,55,29,8,3,14,22,134
592,26,35-91,16-50,21-31,10,27,37,23,8,5,11,19,107
593,24,39-89,17-45,17-21,9,33,42,22,6,3,11,29,112
593,20,36-73,13-38,29-39,5,40,45,24,6,4,12,22,114
594,14,34-89,12-45,15-21,6,31,37,23,5,8,12,22,95
594,16,44-97,12-44,18-23,14,46,60,35,6,7,11,20,118
595,3,42-92,15-43,16-19,9,23,32,23,12,2,12,17,115
595,13,53-81,12-26,17-21,4,36,40,38,8,1,18,16,135
596,21,48-86,9-31,11-17,4,40,44,28,7,6,10,19,116
596,5,45-94,12-30,20-25,10,36,46,30,7,3,8,15,122
597,29,52-94,11-28,18-19,9,37,46,29,6,5,16,20,133
597,11,44-87,16-38,18-24,2,31,33,34,5,1,14,18,122
598,7,37-92,15-42,23-27,13,27,40,16,9,2,8,22,112
598,2,44-76,12-29,17-22,3,38,41,29,3,6,15,19,117
599,17,47-83,12-25,3-5,10,35,45,29,3,9,21,23,109
599,19,39-83,7-25,14-25,8,26,34,22,9,5,8,9,99
600,3,43-86,14-32,9-11,9,37,46,23,10,0,9,12,109
600,28,39-79,17-41,4-5,4,29,33,24,8,4,14,16,99
601,8,39-90,17-42,11-13,10,29,39,28,8,9,11,13,106
601,22,45-97,15-28,16-19,17,37,54,32,7,7,10,15,121
602,18,38-87,5-23,18-26,10,29,39,15,11,0,10,17,99
602,27,47-83,12-30,16-18,5,37,42,28,7,5,14,19,122
603,4,49-78,11-27,19-25,7,39,46,36,9,3,19,25,128
603,1,34-79,13-37,16-24,9,21,30,24,9,2,22,23,97
604,23,38-80,19-43,22-24,10,28,38,23,6,6,15,18,117
604,30,48-98,10-29,3-4,16,29,45,28,8,5,13,18,109
605,6,39-86,10-35,10-14,15,27,42,23,7,6,14,19,98
605,9,42-85,10-27,19-21,16,32,48,30,11,5,13,18,113
606,7,37-84,8-24,14-22,9,38,47,19,7,5,12,23,96
606,12,37-90,11-32,14-19,12,38,50,19,8,10,11,22,99
607,25,42-90,7-20,11-13,13,30,43,16,9,9,17,15,102
607,16,48-94,12-36,15-18,12,30,42,24,8,4,11,17,123
608,15,44-86,17-37,14-16,9,29,38,32,8,6,12,18,119
608,26,42-88,13-34,10-13,10,27,37,27,6,6,13,19,107
609,13,46-88,16-33,16-20,10,31,41,38,8,3,16,24,124
609,24,38-73,18-43,31-31,4,28,32,20,8,8,17,19,125
610,20,47-90,11-35,16-22,8,26,34,28,9,6,12,21,121
610,4,50-87,13-26,24-28,10,33,43,37,3,3,13,16,137
611,14,37-86,12-40,26-34,10,20,30,27,7,6,9,26,112
611,19,38-75,12-29,28-32,13,41,54,23,8,5,20,30,116
612,2,42-87,9-27,31-40,15,35,50,22,10,2,16,20,124
612,8,43-84,9-32,20-25,4,30,34,29,10,3,16,28,115
613,29,41-101,9-39,18-24,12,46,58,22,11,1,22,11,109
613,12,43-109,14-41,5-8,13,46,59,28,14,7,20,23,105
614,21,41-93,10-33,29-35,6,32,38,25,10,4,8,26,121
614,11,46-94,4-25,23-28,10,42,52,25,5,2,15,25,119
615,30,40-88,10-38,20-29,15,25,40,19,10,9,12,27,110
615,6,40-74,10-23,27-33,7,33,40,23,6,3,15,17,117
616,17,38-89,8-31,22-30,13,33,46,19,5,6,9,8,106
616,16,40-91,11-33,8-9,14,37,51,24,6,3,17,22,99
617,1,41-90,16-45,10-12,6,42,48,32,7,4,12,26,108
617,26,33-80,7-27,21-40,8,40,48,19,7,3,16,15,94
618,9,32-89,8-34,13-18,8,43,51,17,4,2,10,21,85
618,18,30-85,10-42,19-25,8,42,50,22,5,4,9,17,89
619,5,36-80,12-38,20-28,7,26,33,25,11,1,17,16,104
619,22,52-90,16-44,9-13,8,40,48,37,12,3,15,22,129
620,3,37-88,9-32,6-11,8,29,37,22,12,3,12,15,89
620,28,40-79,15-34,10-12,6,37,43,14,7,7,18,16,105
621,23,44-96,18-48,16-28,11,36,47,19,10,3,16,27,122
621,11,47-86,7-17,30-38,7,36,43,23,6,2,13,27,131
622,25,34-94,13-34,12-16,12,27,39,18,5,3,9,13,93
622,15,47-87,11-33,11-13,6,44,50,26,6,7,14,16,116
623,10,35-82,10-34,13-16,8,41,49,21,6,6,10,13,93
623,7,37-86,14-34,6-11,5,38,43,24,6,4,7,14,94
624,20,44-93,11-34,24-35,11,27,38,22,14,4,12,16,123
624,27,45-85,15-36,14-19,9,38,47,29,6,6,22,30,119
625,13,33-83,10-37,17-25,10,34,44,24,6,5,12,19,93
625,24,33-87,14-43,21-25,14,36,50,11,8,8,13,19,101
626,5,41-83,11-29,12-20,8,35,43,26,8,8,19,19,105
626,4,44-91,13-39,15-20,11,37,48,23,7,6,12,19,116
627,21,37-81,12-30,21-26,11,34,45,22,6,9,14,16,107
627,30,39-91,12-31,6-7,12,33,45,22,8,4,14,20,96
628,17,41-88,7-18,27-33,17,34,51,19,5,4,13,25,116
628,6,39-89,7-27,25-32,15,32,47,19,8,4,10,21,110
629,8,52-89,20-36,13-19,9,38,47,38,7,9,16,17,137
629,9,41-92,9-34,19-20,10,26,36,22,10,4,11,17,110
630,2,43-91,10-37,17-23,9,30,39,24,9,3,8,16,113
630,10,43-84,21-40,14-20,8,36,44,26,4,1,17,20,121
631,23,34-74,12-37,35-41,9,39,48,21,7,5,13,16,115
631,14,40-83,21-44,11-14,3,28,31,31,9,4,10,28,112
632,19,37-85,14-29,25-28,12,37,49,28,7,4,13,17,113
632,26,39-88,9-32,13-16,7,31,38,21,7,4,13,17,100
633,1,44-91,15-41,13-18,8,35,43,31,13,6,13,16,116
633,18,39-84,8-26,17-21,9,37,46,24,10,6,20,17,103
634,16,47-90,17-35,16-23,9,33,42,32,6,2,16,20,127
634,22,48-91,14-34,21-27,9,34,43,29,10,3,13,22,131
635,20,37-79,13-35,14-18,5,34,39,22,8,6,19,19,101
635,27,43-86,14-27,13-17,6,34,40,29,8,1,18,19,113
636,28,44-81,19-42,12-13,5,34,39,25,4,4,12,16,119
636,24,44-93,22-47,15-17,13,30,43,17,5,0,6,15,125
637,15,39-98,13-37,8-9,16,33,49,26,13,7,8,21,99
637,4,34-81,8-26,18-24,13,39,52,18,6,3,16,16,94
638,21,39-85,10-28,17-27,5,29,34,28,3,2,8,21,105
638,12,48-86,11-23,22-29,9,42,51,24,7,3,9,22,129
639,1,31-90,13-41,28-34,7,39,46,23,8,7,11,25,103
639,18,37-95,10-32,27-31,13,47,60,25,8,5,12,22,111
640,17,46-96,12-33,9-10,5,36,41,29,6,4,9,11,113
640,29,45-92,14-38,16-18,6,43,49,24,5,3,11,11,120
641,5,31-80,15-41,21-28,13,26,39,25,5,4,14,20,98
641,3,45-86,12-34,23-23,9,33,42,26,9,1,9,25,125
642,8,38-98,15-45,18-20,13,37,50,27,8,10,14,22,109
642,9,39-97,9-37,19-23,13,38,51,27,7,7,14,19,106
643,25,42-91,13-39,17-25,19,33,52,22,8,2,16,21,114
643,26,39-79,14-38,20-27,8,30,38,22,7,4,16,20,112
644,13,41-85,8-28,23-30,14,31,45,26,8,7,16,12,113
644,22,44-88,12-34,8-10,10,27,37,30,9,5,15,28,108
645,10,32-84,11-34,21-30,9,35,44,20,6,4,6,13,96
645,30,40-88,23-54,9-9,7,38,45,27,6,3,9,21,112
646,11,42-79,7-21,15-19,10,33,43,24,5,4,19,22,106
646,2,44-90,9-29,16-22,10,25,35,24,11,8,7,18,113
647,14,37-95,15-46,16-19,9,28,37,19,13,3,14,26,105
647,6,39-77,17-33,21-28,7,47,54,29,8,4,26,19,116
648,16,37-80,14-28,12-14,9,43,52,26,8,8,18,22,100
